,pl,be,uk,ru,bg,sl,cs,en
3532,Steven Gerrard,Стывен Джэрард,Стівен Джеррард,Стивен Джеррард,Стивън Джерард,Steven Gerrard,Steven Gerrard,Steven Gerrard
3533,Pyteasz z Massalii,Піфей,Піфей,Пифей,Питей,Piteas,Pýtheás z Massalie,Pytheas
3534,Jennifer Lawrence,Джэніфер Лоўрэнс,Дженніфер Лоренс,Дженнифер Лоуренс,Дженифър Лорънс,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence
3535,Paul Biya,Поль Бія,Поль Бія,Поль Бийя,Пол Бия,Paul Biya,Paul Biya,Paul Biya
3536,James Rodríguez,Хамес Радрыгес,Хамес Родрігес,Хамес Родригес,Хамес Родригес,James Rodríguez,James Rodríguez,James Rodríguez
3537,Georges Danton,Жорж Жак Дантон,Жорж Дантон,Жорж Дантон,Жорж Дантон,Georges-Jacques Danton,Georges Danton,Georges Danton
3538,Stephanie Kwolek,Стэфані Кволек,Стефані Кволек,Стефани Кволек,Стефани Куолек,Stephanie Kwolek,Stephanie Kwoleková,Stephanie Kwolek
3539,Arjen Robben,Ар’ен Робен,Ар'єн Роббен,Арьен Роббен,Арен Робен,Arjen Robben,Arjen Robben,Arjen Robben
3540,Neymar,Неймар,Неймар,Неймар,Неймар,Neymar,Neymar,Neymar
3541,Karim Benzema,Карым Бензема,Карім Бензема,Карим Бензема,Карим Бензема,Karim Benzema,Karim Benzema,Karim Benzema
3542,Italo Balbo,Італа Бальба,Італо Бальбо,Итало Бальбо,Итало Балбо,Italo Balbo,Italo Balbo,Italo Balbo
3543,Luis Suárez ,Луіс Суарэс,Луїс Альберто Суарес,Луис Суарес,Луис Суарес ,Luis Suárez,Luis Suárez,Luis Suárez
3544,Arnulf z Metzu,Арнульф Мецкі,Арнульф Мецький,Арнульф Мецский,Арнулф от Мец,Arnulf iz Metza,Arnulf z Met,Arnulf of Metz
3545,Pepin z Landen,Піпін Ландэнскі,Піпін Ланденський,Пипин Ланденский,Пипин Ланденски,Pipin Landenski,Pipin I. Starší,Pepin of Landen
3546,Apoloniusz z Pergi,Апалоній Пергскі,Аполлоній Перзький,Аполлоний Пергский,Аполоний Пергски,Apolonij,Apollónios z Pergy,Apollonius of Perga
3547,Alkibiades,Алківіяд,Алківіад,Алкивиад,Алкивиад,Alkibiad,Alkibiadés,Alcibiades
3548,Aleksander IV Macedoński,Аляксандр IV Македонскі,Александр IV Македонський,Александр IV Македонский,Александър IV Македонски,Aleksander IV. Makedonski,Alexandr IV. Aigos,Alexander IV of Macedon
3549,Konstantyn XI Paleolog,Канстанцін XI Палеалог,Костянтин ХІ,Константин XI Палеолог,Константин XI Палеолог,Konstantin XI. Paleolog,Konstantin XI. Dragases,Constantine XI Palaiologos
3550,Jan VIII Paleolog,Іаан VIII Палеалог,Іоанн VIII Палеолог,Иоанн VIII Палеолог,Йоан VIII Палеолог,Ivan VIII. Paleolog,Jan VIII. Palaiologos,John VIII Palaiologos
3551,Dani Alves,Даніел Алвіс,Данієл Алвес,Дани Алвес,Дани Алвес,Dani Alves,Daniel Alves,Dani Alves
3552,Andriej Arszawin,Андрэй Сяргеевіч Аршавін,Андрій Аршавін,Андрей Аршавин,Андрей Аршавин,Andrej Aršavin,Andrej Aršavin,Andrey Arshavin
3553,Wercyngetoryks,Верцынгетарыг,Верцингеторикс,Верцингеториг,Верцингеторикс,Vercingetoriks,Vercingetorix,Vercingetorix
3554,Jarosław Jewdokimow,Яраслаў Аляксандравіч Еўдакімаў,Ярослав Євдокимов,Ярослав Евдокимов,Ярослав Евдокимов,Jaroslav Jevdokimov,Jaroslav Jevdokimov,Yaroslav Yevdokimov
3555,Hugo Lloris,Уго Льярыс,Уго Льоріс,Уго Льорис,Уго Лорис,Hugo Lloris,Hugo Lloris,Hugo Lloris
