,entity,gender
522,Менедем,m
523,Сервий Кальпурний Сципион Орфит,m
524,Каонабо,m
525,Салман Саваджи,m
526,Сяо-цзун,m
527,Герольд Гроссвальсертальский,m
528,Антуан I де Люксембург-Линьи,m
529,Обри де Вер I,m
530,Генрих IV Пробус,m
531,Ахей,m
532,Герман фон Зальм,m
533,Исихий Иерусалимский,m
534,Филипп I Руврский,m
535,Глаппа,m
536,Анхнеснеферибре,m
537,Абдул-Гафур аль-Кардари,m
538,Маэль Рува,m
539,Конрад II,m
540,Иоанникий Великий,m
541,Доминик Гундиссалин,m
542,Фарнак II,m
543,Федерико II да Монтефельтро,m
544,Матерн Миланский,m
545,Жанна д’Арманьяк,f
546,Ганс Розенблют,m
547,Генрих III,m
548,Иордан,m
549,Абу-ль-Фатх аш-Шахрастани,m
550,Полиевкт,m
551,Гизела,m
552,Элиза Сервениус,f
553,Унсури,m
554,Гвидо Торелли,m
555,Патерн Уэльский,m
556,Аймоне Савойский-Аостский,m
557,Спурий Меций Тарпа,m
558,Зигфрид Шведский,m
559,Илейко Муромец,m
560,Адам Фульдский,m
561,Теодино Сансеверино,m
562,Барбат из Беневенто,m
563,Зигфрид II,m
564,Луций Публилий Волерон Филон Вульск,m
565,Джек Кэд,m
566,Вальдемар Молодой,m
567,Марк Клавдий Марцелл,m
568,Василий Жижемский,m
569,Томаззо Морозини,m
570,Марк Клавдий Марцелл,m
571,Ян Рогач из Дубы,m
572,Фульвий Пий,m
573,Домангарт II,m
574,Гуго де Пейн,m
575,Ахав,m
576,Рамля бинт Абу Суфьян,f
577,Габрио Казати,m
578,Пётр Ломбардский,m
579,герцог Коннаутский Артур,m
580,Алипий Печерский,m
581,Балдуин III Иерусалимский,m
582,Чэнь Туань,m
583,Марица Владимировна,f
584,Никколо I Санудо,m
585,Граттий Фалиск,m
586,Зенобия,f
587,Ерванд IV,m
588,Такаяма Укон,m
589,Луп I,m
590,Чечейген,f
591,Гай Юлий Гигин,m
592,Григорий Авнежский,m
593,Роже I Транкавель,m
594,Георгий Шепелев,m
595,Публий Корнелий Сципион Африканский,m
596,Император Сэйнэй,m
597,Гробница Богородицы,f
598,Вильгельм,m
599,Эрменгол II,m
600,Бернардин Сиенский,m
601,Ала ад-дин Алам-шах,m
602,Этьен I,m
603,Элисенда де Монкада,f
604,Люй Лун,m
605,Конрад Флекк,m
606,Леудезий,m
607,Абдуллах аль-Ансари,m
608,Сигиберт I,m
609,Фрада,m
610,Евдокия Декаполитисса,m
611,Флавиан II,m
612,Наяа,m
613,Раймунд II,m
614,Гурген I Куропалат,m
615,Флорис де Эно,m
616,Этельред I,m
617,Мирон I,m
618,Дадон,m
619,Филипп,m
620,Уголино III Тринчи,m
621,Анастас Корсунянин,m
622,Цзу Чунчжи,m
623,Лотарь Удо I фон Штаде,m
624,Цзян Вэй,m
625,1-й граф Карлайл Эндрю Харкли,m
626,Архидам III,m
627,Савромат V,m
628,Сибилла де Боже,f
629,Саломея Александра,m
630,Хильдебольд Кёльнский,m
631,Маркиан,m
632,Фердинанд I,m
633,Русиньш,m
634,Чжан Сюань,m
635,Петер Зухенвирт,m
636,Рамон Беренгер I,m
637,Юй Сюаньцзи,f
638,Томас Стэнли,m
639,Саййид Али Акбар,m
640,Елена Кантакузина,m
641,Жанна Савойская,m
642,Жан III Добрый,m
643,Дрого Шампанский,m
644,Жеро III д’Арманьяк,m
645,Теодвин,m
646,Пейре Карденаль,m
647,Регинтруда,f
648,Луций Элий Ламия Плавтий Элиан,m
649,У-ди,m
650,Джон Маршал,m
651,Андроник из Олинфа,m
652,Хуан Дельгадо,m
653,Гуань Чжун,m
654,Фенестелла,m
655,Иванко,m
656,Жоффруа V Плантагенет,m
657,Томас Моубрей,m
658,Публий Валерий Публикола,m
659,Люббе Зибетс,m
660,Мирон Кизический,m
661,Клеанф,m
662,Аскольд,m
663,Джакопо Алигьери,m
664,Эшмуназор I,m
665,Идрис Великан,m
666,Бернар V д’Астарак,m
667,Адам Муримут,m
668,Лебуин из Фризии,m
669,Луций Мунаций Планк,m
670,Мерогей,m
671,Юсуф IV ибн аль-Мавл,m
672,Финн Арнессон,m
673,Евгений,m
674,Мино да Фьезоле,m
675,Герострат,m
676,Томмазо да Фриньяно,m
677,Ардуманиш,m
678,Чьеу Ву-де,m
679,Арсак,m
680,Роланд II Ратот,m
681,Генрих II Лаахский,m
682,Луций Сауфей,m
683,Бринольф Альготссон,m
684,Мамбре Верцанох,m
685,Эстрид Бьёрнсдоттер,f
686,Фернанду,m
687,Борис Всеволодович,m
688,Крум,m
689,Риквин,m
690,Михаил,m
691,Изабелла Кастильская,f
692,Хишам ибн Абдул-Малик,m
693,Грифид ап Рис II,m
694,Завиша Курозвенцкий,f
695,Лю Юн,m
696,Стефан II,m
697,Луций Помпоний Флакк,m
698,Абсалон,m
699,Суфьян ас-Саури,m
700,Микеле Стено,m
701,Магон I,m
702,Дерда III,m
703,Теодато Ипато,m
704,Луций Атилий,m
705,Тит Тарквиний,m
706,Киаран Клонмакнойсский,m
707,Домиций Модест,m
708,Мунджон,m
709,Анджела из Фолиньо,f
710,Фукидид,m
711,Роберт Молемский,m
712,Мухаммад ибн Туглак,m
713,Николай Бидлоо,m
714,Альфонсо X,m
715,Чекко Анджольери,m
716,Осита,f
717,Лю Футун,m
718,Тиртей,m
719,Патрис де Мак-Магон,m
720,Ян,m
721,Тиверий III,m
722,Исин,m
723,Коммодиан,m
724,Ядурайя Водеяр,m
725,Луций Юлий Юл,m
726,Владимир Ярославич,m
727,Ранульф I,m
728,Уильям Уоллес,m
729,Зотто,m
730,Бизоний Рог,m
731,Жан I д’Арманьяк,m
732,Самбор I,m
733,Ильдебрандо Грасси,m
734,Гонсало Фернандес,m
735,Хью Биго,m
736,Мухаммад аль-Бусири,m
737,Абдуллах ибн Сад,m
738,Вильгельм,m
739,Огива Уэссекская,f
740,Секст Помпей,m
741,Луций Кассий Лонгин,m
742,Али Мардан-хан Зиг,m
743,Николо Гуарко,m
744,Маттео ди Пачино,m
745,Гильом Шартье,m
746,Генезий Римский,m
747,Джованни Минио да Моровалле,m
748,Доннкорки,m
749,Фридрих IV,m
750,Михаил II Травл,m
751,Кутбу-д-дин аш-Ширази,m
752,Паоло Эмилио Таон ди Ревель,m
753,Гегемон Фасосский,m
754,Манассе IV,m
755,Артуис ап Мор,m
756,Уррака,m
757,Авдолеон,m
758,Хакон III,m
759,Гюнтер Цайнер,m
760,Ченнино Ченнини,m
761,Марк Гавий Корнелий Цетег,m
762,Александр III,m
763,Саркис Тернакалов,m
764,Ральф Невилл,m
765,Кассиан из Имолы,m
766,Якопо II Аппиано,m
767,Екатерина Кастильская,f
768,Герман I,m
769,Иван Усов,m
770,Архелай,m
771,Луций Рутилий Пропинкв,m
772,Феодора,f
773,Генри Холланд,m
774,Тит Статилий Тавр,m
775,Гунсунь Цзань,m
776,Одоне Бонеказе,m
777,Гильом III,m
778,Климент VII,m
779,Хуго I,m
780,Публий Марций Вер,m
781,Афанасий Великий,m
782,Луций Фабий Юст,m
783,Карл Верден,m
784,Александра Алфёрова,f
785,Абу-ль-Фатх ас-Сиджизи,m
786,Иоанн V,m
787,Джованни Франческо Маратти,m
788,Хаджу Кермани,m
789,Адальгард Корбийский,m
790,Анна Жукова,f
791,Трифена,f
792,Гардизи,m
793,Памфилий из Сульмоны,m
794,Филипп де Крой,m
795,Ованес Ерзнкаци Плуз,m
796,Бартоломео Градениго,m
797,Ян III Благочестивый,m
798,Альбрехт II,m
799,Фульк Бертран,m
800,Лудовико II Гонзага,m
801,Тит Сальвий Руфин Миниций Опимиан,m
802,Певколай Дикайос Сотер,m
803,Василий Владимирович Каша Оболенский,m
804,Эриспоэ,m
805,Арей II,m
806,Мстислав Михайлович,m
807,Давид Бургундский,m
808,Ван Чун,m
809,Тит Цезерний Статиан,m
810,Вацлав I Опавский,m
811,Бертольд Швейнфуртский,m
812,Родриго Хименес де Рада,m
813,Мария Альмела,f
814,Саид ибн аль-Мусаййиб,m
815,Иосиф ибн-Акнин,m
816,Север Неаполитанский,m
817,Секст Клавдий Петроний Проб,m
818,Леонтия,f
819,Марон из Пичено,m
820,Аппий Клавдий Сабин Инрегиллен,m
821,Хаям Вурук,m
822,Клеменция Аквитанская,f
823,Птолемей Алорит,m
824,Оливье Басселен,m
825,Баллиста,m
826,2-й граф Глостер Уильям Фиц-Роберт,m
827,Оттон I,m
828,Чжоу Дуньи,m
829,Эрменред,m
830,Флавий Фелициан,m
831,Онисифор,m
832,Гней Хоссидий Гета,m
833,граф Бьюкен Александр Комин,m
834,Джимми,m
835,Ивик,m
836,Степан Томашевич,m
837,Арсам,m
838,Шипитбаал III,m
839,Хетум I,m
840,Паисий Угличский,m
841,Кончака,f
842,Епифан,m
843,Джан Мария Висконти,m
844,Чжэн Юньдуань,f
845,Таккола,m
846,Уолтер Фиц-Гилберт,m
847,Джеффри де Ранси,m
848,Бруно Кёльнский,m
849,Абу Ахмед аль-Альвани,m
850,Константин I Великий,m
851,Адриан II,m
852,Ральф Мортимер,m
853,Гонорий II,m
854,Ардашер Кавчин,m
855,Никарета,m
856,Владимир Лемке,m
857,Чарльз Кэлвин Мур,m
858,Альдуин,m
859,Василий Урусов,m
860,Анна Далассина,m
861,Санша Португальская,f
862,Луций Антоний Альб,m
863,Эохейд,m
864,Ринальдо Альбицци,m
865,Вирий Галл,m
866,Филипп I,m
867,Мервин ап Гуриад,m
868,Ариенис,m
869,Ротгауд,m
870,Кориат,m
871,Император Го-Судзаку,m
872,Чун-ди,m
873,Нехуния бен га-Кана,m
874,Екатерина Клевская,f
875,Кадваладр ап Кадваллон,m
876,Франческина Маджи,m
877,Александр Константинович,m
878,Помпоний Порфирион,m
879,Пётр Сицилийский,m
880,Хамфри де Богун,m
881,Иван Дусинский,m
882,Нимбарка,m
883,1-й герцог Йоркский Эдмунд Лэнгли,m
884,Василий Семёнович,m
885,Эд де Шатору,m
886,Уолтер Милль,m
887,Эрнст I,m
888,Чонджон,m
889,Джеффри ле Скруп,m
890,Прокопий Газский,m
891,Квинт Лабиен,m
892,Дитрих фон Плёцкау,m
893,Рудольф Хессо,m
894,Ёсимацу Ояма,m
895,Стронгила,m
896,Прокоп Голый,m
897,Константин Иньков,m
898,Юстиниан I,m
899,Василий Корень,m
900,Деметрий Магнесийский,m
901,Дэвид Фиц-Уолтер из Кадзоу,m
902,Батт II,m
903,Саншу I,m
904,Роберт Рудланский,m
905,Уберто Дечембрио,m
906,Вард Мамиконян,m
907,Изабелла Французская,f
908,Оттон II,m
909,Саломея,f
910,Гзак,m
911,Хуан II,m
912,Джон Хоквуд,m
913,Бушар III Молодой,m
914,Гай Гостилий Тубул,m
915,Александр Иванович,m
916,Ахмад Низам-шах I,m
917,Иоланда де Бар,f
918,Жулиана Гарнье,m
919,Лентул Батиат,m
920,Публий Попиллий Ленат,m
921,Абдуллах аль-Каим Биамриллах,m
922,Левольд фон Нортхоф,m
923,Ярослав Всеволодович,m
924,Рудольф II,m
925,Акамапичтли,m
926,Клеобулина,f
927,5-й граф Дерби Уильям де Феррерс,m
928,Флавий Манлий Боэций,m
929,Юньмэнь Вэньянь,m
930,Юсуф V ибн Ахмад,m
931,Конрад фон Гохштаден,m
932,Сё Эн,m
933,Андреа Вендрамин,m
934,Авдий Эдесский,m
935,Деметрий I Полиоркет,m
936,Пандольфо Маска,m
937,Юст Уржельский,m
938,Анастасия Гедиминовна,f
939,Фридрих I,m
940,Георгий II Балшич,m
941,Элис Норфолкская,m
942,Антипатр Фессалоникский,m
943,Малфрида,f
944,Секст Лузиан Прокул,m
945,Даниэль Лавуа,m
946,Маргарит из Бриндизи,m
947,Мария д’Эврё,m
948,Радагайс,m
949,Саид ибн Мансур,m
950,Ила,m
951,Пьетро Лоренцетти,m
952,Абду-ль-Азиз ибн Муса,m
953,Руса II,m
954,Децим Гатерий Агриппа,m
955,Томас Монтегю,m
956,Тит Квинкций Цинциннат Капитолин,m
957,Джон Моубрей,m
958,Ли Му,m
959,Генрих I,m
960,Саакдухт,f
961,Евгений Поляков,m
962,Кореб Элидский,m
963,Тимофей Милетский,m
964,Марио,m
965,Эндрю Стюарт,m
966,Гай Миниций Фундан,m
967,Джон из Трокелоу,m
968,Арий,m
969,Урсмар,m
970,Генри Перси,m
971,Инга из Вартейга,f
972,Святослав,m
973,Элред Ривоский,m
974,Франческо Скварчоне,m
975,Руй Гонсалес де Клавихо,m
976,Муктапида Лалитадитья,m
977,Акшапада Гаутама,m
978,Альдхельм,m
979,Гильом VIII де Монпелье,m
980,Тигран I,m
981,Александра и Клавдия Амисийские,m
982,Фабий Планциад Фульгенций,m
983,Ян Гаштольд,m
984,Батбаян,m
985,Алексей II Великий Комнин,m
986,Изабелла де Барселуш,f
987,Ильтуд,m
988,Мстивой I,m
989,Секст Веттулен Цивика Помпеян,m
990,Антуан де Вержи,m
991,Чжан Хэн,m
992,Батерик,m
993,Генрих I,m
994,Гай Теренций Варрон,m
995,Пармис,m
996,Кассий Херея,m
997,Анна Савойская,m
998,Констанция Австрийская,f
999,Антония,f
1000,Яуар Уакак,m
1001,Мухаммед Ибн Махмуд Ширвани,m
1002,Гераклиан,m
1003,Ассар Тебризи,m
1004,Светослав Суронья,m
1005,Марк Аврелий Клеандр,m
1006,Мария де Бурбон,f
1007,Оффа,m
1008,Мануил Комнин,m
1009,Хоу Цзин,m
