,entity,gender
481,Eardwulf z Nortumbrii,m
482,Gajusz Juliusz Kwadratus Bassus,m
483,Eleonora Wettyn z Saksonii-Eisenach,f
484,Jakub Wedelicki,m
485,Leonello d’Este,m
486,Christian von Lente,m
487,Pons z Trypolisu,m
488,Konstantyn Dukas,m
489,Mikołaj Jan Prażmowski,m
490,Bonifacy III,m
491,Wolfgang Lazius,m
492,Marcin Florek,m
493,Ōtomo no Kuronushi,m
494,Wujiu Youxuan,m
495,Guglielmo Fieschi,m
496,A’isza bint Abi Bakr,m
497,Elizabeth Jane Weston,m
498,Kriksos,m
499,Bernard z Parmy,m
500,John Beaufort,m
501,Jan Rabsztyński,m
502,Konrad Januszowic,m
503,Stanisław Warszycki,m
504,Juan Bautista Comes,m
505,Aleksander z Cypru,m
506,Arnold von Heems,m
507,Jean-Antoine de Baïf,m
508,Borys i Gleb,m
509,Su Shi,m
510,Sin Saimdang,m
511,Zoltán,m
512,Emil z Kordoby,m
513,Jan II z Jerozolimy,m
514,Giovanni Battista Moroni,m
515,Jan Faustyn Łuba,m
516,Herman I,m
517,Edmund Rich,m
518,Francesco Prelati,m
519,Jan II Kazimierz Waza,m
520,Abu Hajjan at-Tauhidi,m
521,Anna Wirtemberska,f
522,Agnes Dürer,m
523,Franciszek Zajerski,m
524,Aleksy Romanow,m
525,Ekbert I von Bentheim,m
526,Jan z Gandawy,m
527,Barnim IV Dobry,m
528,Euzebiusz z Vercelli,m
529,Edward Skibiński,m
530,Henry Hurt,m
531,Jeong Mong-ju,m
532,Kazimierz Leon Sapieha,m
533,Johnson Kere,m
534,Maffeo Gherardi,m
535,Jiří Rychnovský,m
536,Kyaksares,m
537,Elżbieta Zofia meklemburska,f
538,Girolamo Bernerio,m
539,Klaudyna Grimaldi,m
540,Barbara Woroniecka,m
541,Grzegorz z Tours,m
542,Karol Habsburg,m
543,Marek Križ,m
544,Daniel Szczenia,m
545,Cornelis Bisschop,m
546,Kazimierz II łęczycki,m
547,Emeryk Zápolya,m
548,Jacopo Zabarella,m
549,Karma Pakszi,m
550,Dionizy Areopagita,m
551,Luzjusz Kwietus,m
552,Henryk I hrabia Sternberg-Waldeck,m
553,Li Congke,m
554,Luohan Guichen,m
555,Mieszko II Lambert,m
556,Georg von Frundsberg,m
557,Johannes Andreas Quenstedt,m
558,Julian z Toledo,m
559,Anna Leszczyńska,f
560,Alonso Pérez de Guzmán,m
561,Andrzej Różycki,m
562,Herofilos z Chalcedonu,m
563,Perpetua z Kartaginy,m
564,Domingo Abad Huerta,m
565,Hans Burgkmair starszy,m
566,Adam Sędziwój Czarnkowski,m
567,Piotr Opaliński,m
568,Emma,f
569,Henryk II Trastamara,m
570,Maciej Czarnkowski,m
571,Job Adriaenszoon Berckheyde,m
572,Andrzej Ciołek z Żelechowa,m
573,Gabriel z Syjonu,m
574,Jakub Benfatti,m
575,Maria Teresa Austriaczka,f
576,Hans Schüchlin,m
577,Teodor I,m
578,Mistrz Madonny Rodziny Ilsung,m
579,Maciej Strubicz,m
580,Jerzy Niemojewski,m
581,Jan Lievens,m
582,Kōhō Kennichi,m
583,Herman de Gavardo,m
584,Basilius Amerbach,m
585,Priapatius,m
586,Thomas Wynne,m
587,Święty Platon,m
588,Szymon Bar-Kochba,m
589,Gerwazy z Tilbury,m
590,Godfryd z Amiens,m
591,Eliasz II,m
592,Maria Rogozińska,f
593,Otto Wesoły,m
594,Agnieszka z Hesji-Kassel,f
595,Zofia Rurykowiczówna,f
596,Turhan Hatice,f
597,Agata Sycylijska,f
598,Jerzy Wołodyjowski,m
599,Konrad I Przemyślida,m
600,Józef Wołocki,m
601,Philip Sidney,m
602,Zofia z Saksonii-Weißenfels,f
603,Vincenzo Pagani,m
604,François Fénelon,m
605,Sędziwoj „Głowacz” Leżeński,m
606,Daniel Finch,m
607,Etelburga,m
608,Francesco Maria Mancini,m
609,Dhimitër Progoni,m
610,Iwan Bezpały,m
611,Otto,m
612,Leonardo II Tocco,m
613,Wincenty Kaŭn,m
614,Marcus Zuerius van Boxhorn,m
615,Izydor,m
616,Awienus,m
617,Mikołaj Konarzewski,m
618,Nobutada Konoe,m
619,Rajmund VII z Tuluzy,m
620,Maciej Głoskowski,m
621,Niaoke Daolin,m
622,Błażej Derey,m
623,Lagitupu Tuilimu,m
624,Stefano della Bella,m
625,Sarolta,m
626,Kunegunda ze Šternberka,m
627,Mikołaj Korsak,m
628,Dzanabadzar,m
629,John de Warenne,m
630,Mikołaj Kabazylas,m
631,Nicolas Cotoner,m
632,Kanzan Egen,m
633,Paweł Wołucki,m
634,Roger de Clare,m
635,Lucjusz Orbiliusz Pupillus,m
636,Alahis,m
637,Święty Sawa,m
638,Jerzy III,m
639,Lucjusz Woluzjusz Saturninus,m
640,Jakub Szczawiński,m
641,Irena Godunowa,f
642,Filip z Side,m
643,David Lyndsay,m
644,Iwan Sirko,m
645,Fruela I,m
646,Filipa Lancaster,f
647,Annibale Annibaldi,m
648,Tughril Beg,m
649,Fuzuli,f
650,Tybald III,m
651,Adam Gorajski,m
652,Garsias Quadros,m
653,Mikołaj Kotowicz,m
654,Jordan z Pizy,m
655,Bartłomiej Soloznicki,m
656,Ebroin,m
657,Ratołt z Wiśniewa,m
658,Małgorzata Paleolog z Montferratu,m
659,Dieudonné de Gozon,m
660,Ernest Schönfeld,m
661,Pisanello,m
662,Stanisław Bańbuła,m
663,Barbara Giełczewska,f
664,Pedro Fernández Manrique,m
665,Święta Alodia,m
666,Otto Christoph von Sparr,m
667,Yanez,m
668,Wilhelm Bogaty,m
669,Maarten Tromp,m
670,Święta Scholastyka,m
671,Afra z Augsburga,m
672,Wolfgang Capito,m
673,Carlo Carafa della Spina,m
674,Fryderyk II Lotaryński,m
675,Jaremy Benzon,m
676,Przemek I opawski,m
677,Olaf II Haraldsson,m
678,Barbara Kunstadt-Podiebrad,m
679,Józef Wereszczyński,m
680,Borys Szein,m
681,Ludwik XI,m
682,François de Lachaise,m
683,Jingzhong Wuxiang,m
684,Marcantonio Gozzadini,m
685,Mikołaj V,m
686,Ferdynand Küttner,m
687,Stefan Starszy z Wierzbna,m
688,Święta Sylwia,m
689,Lucjusz Emiliusz Paulus Macedoński,m
690,Franciszek Zajst,m
691,Światosław II,m
692,Teodor Tergonde,m
693,Małgorzata Clitherow,m
694,Saikaku Ihara,m
695,Roman z Nepi,m
696,Roger z Salisbury,m
697,Barbara Zápolya,f
698,Deksippos,m
699,Bernhard Fuckeradt,m
700,Henryk z Montferratu,m
701,Syagriusz,m
702,Kaspar Förster młodszy,m
703,Joanna Magdalena z Saksonii-Altenburg,f
704,Dijana Alić,m
705,Maksym Grek,m
706,Kazimierz Bogucki,m
707,Philipp Apian,m
708,Kyniska,f
709,Christoph Demantius,m
710,Bogusław Leszczyński,f
711,Hazdrubal Magonida,m
712,Fu,m
713,Aelred z Rievaulx,m
714,Snorri Sturluson,m
715,Janusz Radziwiłł,m
716,Salomea Odonicówna,f
717,Karol IV de Bourbon-Vendôme,m
718,Weryna,m
719,Jan Feliks Szram Tarnowski,m
720,J. Jardin,m
721,Krystyna Maria de France,f
722,Pier Francesco Foschi,m
723,Thomas Achelley,m
724,Oleg Michał,m
725,Philibert Babou de la Bourdaisière,m
726,Giovanni Colonna,m
727,Eudokia,f
728,Paulus Moreelse,m
729,Publiusz Klodiusz Pulcher,m
730,Otton z Fryzyngi,m
731,Jakob Akersloot,m
732,Jan Gavan,m
733,Chalcydiusz,m
734,An-Nasir Muhammad II,m
735,Johann Schreck,m
736,Balša II,m
737,Władysław Dorohostajski,m
738,Nicolò Sagredo,m
739,Abbas,m
740,Tribigild,m
741,Teodor Branas,m
742,Malcolm IV,m
743,Katarzyna I de Courtenay,m
744,Filip IV Waldeck-Wildungen,m
745,Leonaert Bramer,m
746,Maksymin z Trewiru,m
747,Jerzy Karol Hlebowicz,m
748,Joanna z Balneo,m
749,Fasiledes,m
750,Osmund,m
751,Abd Allah,m
752,Dydym Aleksandryjski,m
753,Jan de Prado,m
754,Meinhard III Tyrolski,m
755,Filistos z Syrakuz,m
756,Fu Yi,m
757,Algernon Sydney,m
758,Merkury z Cezarei,m
759,Posejdonios z Rodos,m
760,Thomas Percy,m
761,Jean Louis de Nogaret de La Valette,m
762,Ludwik I Pobożny,m
763,Tomasz Strzępiński,m
764,Abraham Beerstraaten,m
765,Willy Valcke,m
766,Ariarates IV Eusebes,m
767,Jerzy Leopold Beess,m
768,Jan Kos,m
769,Baldassare Donato,m
770,Abraham Socha,m
771,Arnold de Villanova,m
772,Michał Maliszewski,m
773,Teodot I Kassiteras,m
774,Ewald Hintz,m
775,Izaak Komnen,m
776,Gongsun Long,m
777,Klemens Janicki,m
778,Jakub Wujek,m
779,Eschiva z Ibelinu,m
780,Adolf Stockhausen,m
781,Tomasz z Villanuevy,m
782,Scipione Gonzaga,m
783,Katarzyna Weiglowa,f
784,Laurentius Petri,m
785,Edward Miller,m
786,Hendrick Andriessen,m
787,Vellido Dolfos,m
788,Edmund Męczennik,m
789,Jadwiga Duch,m
790,Ludwik Wilhelm Badeński,m
791,Caravaggio,m
792,Szymon Okolski,m
793,Krzysztof Ostorodt,m
794,Zbigniew Oleśnicki,m
795,Laurent Férou,m
796,Longtan Chongxin,m
797,Louis Moréri,m
798,Ermenilda z Ely,m
799,Jacek Jabłoński,m
800,Jean de Dunois,m
801,Guy Fawkes,m
802,Fryderyk Chrystian Schaumburg-Lippe,m
803,Gertruda saska,f
804,Waleria z Honnecourt,m
805,Salomon Luria,m
806,Wirginia Centurione Bracelli,f
807,Giovanni Gerolamo Savoldo,m
808,Marcin Czechowic,m
809,Andrea Belvedere,m
810,Ferdynand I Sprawiedliwy,m
811,Święty Kewin,m
812,Patrick Gordon,m
813,Ladislao d’Aquino,m
814,Maciej Przybyło,m
815,Mikołaj z Wilkowiecka,m
816,Augustyn Kažotić,m
817,Antonio Scandelli,m
818,Miguel de Oquendo,m
819,Miguel Mañara,m
820,Anton Praetorius,m
821,Damazy I,m
822,Nicefor Chumnos,m
823,Edeltruda z Ely,m
824,Jotapa,f
825,Zibo Zhenke,m
826,Karol IV Lotaryński,m
827,Zhu Xi,m
828,Achajos,m
829,Franciszek Pérez Godoy,m
830,Andrzej Firlej,m
831,Hieronim Rozdrażewski,m
832,Guillaume Budé,m
833,René de Birague,m
834,Jerzy Kotermak,m
835,Filoksenos II,m
836,Herod Wielki,m
837,As-Salih Ajjub,m
838,Symbatios,m
839,Bogusław I,m
840,Conon de Béthune,m
841,Jakob Brod,m
842,Alexander Cunningham,m
843,Kaspar Schwenkfeld,m
844,Konrad IX Czarny,m
845,Guillaume Dumanoir,m
846,Sebastiano Mocenigo,m
847,Jan Chrzciciel,m
848,Włodzimierz Nieprzewski,m
849,Elżbieta Łokietkówna,f
850,Richard de Clare,m
851,Jan V raciborski,m
852,Mikołaj Baranowski,m
853,Wsiesława Wsiewołodówna,m
854,Daniel z Egiptu,m
855,Eufrozyn Pskowski,m
856,Dytryk I Zgnębiony,m
857,Cosimo de Torres,m
858,Karloman I,m
859,Małgorzata Majláth,m
860,Miklós de Sorgo,m
861,Tybald IV,m
862,Leonard Vechel,m
863,Robert Rich,m
864,Ernst von Brandenburg,m
865,Jan Prokopowicz,m
866,Gazi Husrev-beg,m
867,Jan Ögmundsson,m
868,Maryna z Ōmury,f
869,Mikołaj I,m
870,Johannes Marchesinus,m
871,Łazarz,m
872,Bartłomiej Groicki,m
873,Dydak Alojzy de San Vitores,m
874,Martín de Azpilcueta,m
875,Nysa,f
876,Lodewijk Elzevier,m
877,Hiob Anzerski,m
878,Leon VI Filozof,m
879,Erik Larsson Sparre,m
880,Valentin Thilo,m
881,Ludwik,m
882,Francesco Cornaro,m
883,Anna Elżbieta Radziwiłłówna,m
884,Andrzej Łahodowski,m
885,Geiami,m
886,Warcisław Młodszy,m
887,Teofan III,m
888,Diego de Hojeda,m
889,Kondratij Buławin,m
890,Johann Pachelbel,m
891,Aiwang,m
892,Sybilla Bawarska,f
893,Jan Baptysta Wenecjanin,m
894,Adam Aleksander Sanguszko,m
895,Péter Pázmány,m
896,Dymitr Wejher,m
897,Piotr z Oporowa,m
898,Bonifacy z Raguzy,m
899,Engelbert III,m
900,Christoph Murer,m
901,Kwintus Eliusz Tuberon,m
902,Szota Rustaweli,m
903,A. Wilcocks,m
904,Euctemon,m
905,Franciszek Cetner,f
906,Święty Brykcjusz,m
907,Savo Millini,m
908,Ćandragupta II,m
909,Agnolo Gaddi,m
910,Alicja Sabaudzka,m
911,Aleksas III Helkiasz,m
912,Dersław Schwenkfeld,m
913,Joanna d’Albret,f
914,Francesco Barsanti,m
915,Adela von Vohburg,f
916,Lewan,m
917,Sukō,m
918,Luis de León,m
919,Konrad Salicki,m
920,Maciej ze Środy,m
921,Krzysztof Leszczyński,m
922,André Sarens,m
923,Marek Fabiusz Dorsuon,m
924,Paula Rzymianka,m
925,Chingam Hyejo,m
926,Wilhelm I von Nassau-Dillenburg,m
927,Branca,f
928,Publiusz Decjusz Mus,m
929,Mikołaj z Oresme,m
930,Herbert IV de Vermandois,m
931,Trofim z Arles,m
932,Bernardo Tasso,m
933,Ibrahim ibn Jakub,m
934,Krzysztof Palczowski,m
935,Luís de Camões,m
936,Carlo Roberti,m
937,Prospero Colonna,m
938,Franceco Giuseppe Wicardel de Triviè,m
939,Johann Joseph Fux,m
940,Cecylia Metella Dalmatyka,m
941,Adelajda z Susy,m
942,Andrzej Górka,m
943,Zhang Boduan,m
944,Eanna-szarra-usur,m
945,Eneasz z Gazy,m
946,Abraham Kulwieć,m
947,Franciszek z Waldeck,m
948,Hugues Roger,m
949,Marcin Stadnicki,m
950,Antioch V Eupator,m
951,Osbald z Nortumbrii,m
952,Brygida Szwedzka,f
953,Krateros Macedoński,m
954,Bertrand du Pouget,m
955,Butawd Henryk,m
956,Gajusz Memmiusz,m
957,Jan Potocki,m
958,Franciszek Kuhschmalz,m
