,entity,gender
348,"Marie, paní z Meneses a Orduñi",f
349,Wilhelm Hünermann,m
350,Fletcher Christian,m
351,Hieronymus Eustach Brinke,m
352,Justa Grata Honoria,f
353,Jan Nepomuk I. ze Schwarzenbergu,m
354,Václav IV. Ratibořský,m
355,Jean-François Chalgrin,m
356,Muhammad Hasan Achund,m
357,William Dampier,m
358,Anaklét,m
359,Svatá Pudentiana,f
360,Delfo Bellini,m
361,Sidney Godolphin,m
362,Michele Ruggieri,m
363,Raimond II. z Tripolisu,m
364,Sönam Gjamccho,m
365,Hermenegild von Francesconi,m
366,Valentin Vodnik,m
367,Isabella z Maru,f
368,Michal Baluďanský,m
369,Anna Habsburská,f
370,Christopf Traugott Delius,m
371,Arnošt z Újezdce a Kúnic,m
372,Ga'on z Vilna,m
373,Čhökji Dagpa Ješe Pal Zangpo,m
374,Karel Jan Rudzinsky,m
375,Vilém III. Saský,m
376,Johann Mannhardt,m
377,Nannette Streicherová,f
378,Constantijn Francken,m
379,Josef Loos,m
380,Cassia O'Reilly,f
381,Camillo Mariani,m
382,Tommaso da Modena,m
383,Leopold I. Babenberský,m
384,Jan Nepomuk Vojtěch Maxant,m
385,Erik Pontoppidan,m
386,Philip de Brito,m
387,Sín-šumu-líšir,m
388,Louis Antoine Fauvelet de Bourrienne,m
389,Svatopluk Vladimirovič,m
390,Emil Hába,m
391,Al-Valíd II.,m
392,Achille d'Étampes de Valençay,m
393,Jan Sýkora,m
394,Bonifác IV.,m
395,Žofie Dorotea Šlesvicko-Holštýnsko-Sonderbursko-Glücksburská,f
396,João Gonçalves Zarco,m
397,Jeroným Lützow,f
398,Nicola Conforto,m
399,Maxmilián Berger,m
400,Anton Pichler,m
401,Filippo Vitali,m
402,Vincenc Vogarelli,m
403,Karl Julius Perleb,m
404,Kristián David,m
405,Tereza Portugalská,f
406,Dorotea Frederika Braniborsko-Ansbašská,f
407,Francis Whately,m
408,Valerius Bayer,m
409,Achille Devéria,m
410,Franciszek Macieszkiewicz,m
411,Robert I. z Dreux,m
412,Ambrogio Lorenzetti,m
413,Jindřich I. z Vrbna,m
414,Flora Tristan,f
415,Friedrich von Schomberg,m
416,Petr I. Portugalský,m
417,Hilel,m
418,Petronius Maximus,m
419,Annibale Mazzuoli,m
420,Pupienus,m
421,Bartholomäus Strobel,m
422,W. Edwards Deming,m
423,Vilém z Kunštátu a Boleradic,m
424,Louise de La Vallière,f
425,Giovanni Domenico Orsi,m
426,Józef Wybicki,m
427,Alfred Newman,m
428,Jan Černčický z Kácova,m
429,Louis Breguet,m
430,Onufrij Stěpanov,m
431,Jean de Lamberville,m
432,Ján Simonides,m
433,Jakub Dvořecký,m
434,Jan Habsbursko-Lotrinský,m
435,Henrietta Marie Bourbonská,f
436,Jan II. ze Šelmberka,m
437,Eufémie Slezská,f
438,Johanna Gabriela Habsbursko-Lotrinská,f
439,Jan Braniborsko-Kulmbašský,m
440,Claude Félix Abel Niépce de Saint-Victor,m
441,Markéta Brabantská,f
442,Mutina,m
443,Ethelred II.,m
444,Markéta Drummondová,f
445,Jan Karel Hromádko,m
446,François Joseph Bosio,m
447,Marie Françoise Catherine de Beauvau-Craon,f
448,Theodotos I.,m
449,Benito Jerónimo Feijoo,m
450,Baccio Pontelli,m
451,Juraj Košút,m
452,Axayacatl,m
453,Michael Faraday,m
454,Anna Komnena Angelina,f
455,Isabella Albrizzi-Teotochi,f
456,Al-Hádí,m
457,Elio Antonio de Nebrija,m
458,Charles Crozatier,m
459,Petr Hamza ze Zábědovic,m
460,Jakub Jan Trautzl,m
461,Hans Leo Hassler,m
462,Jindřich VI. Anglický,m
463,García de Toledo,m
464,Ču Caj-jü,m
465,Mathias Schönerer,m
466,Jana z Arku,f
467,Vítek I. z Prčice,f
468,Klement Antonín Zahrádka,m
469,Johannes Bach,m
470,František z Anjou,m
471,Paul Speratus,m
472,Paión z Mendé,m
473,Jan Žalkovský ze Žalkovic,m
474,Johan Helmich Roman,m
475,Baltasar Gracián,m
476,Wenzel Karl,m
477,Samuel A. Cartwright,m
478,Bartholomeus Spranger,m
479,Wikipedista:Martin wolf/Pískoviště,f
480,David Altschuler,m
481,Gediminas,m
482,Marie Brabantská,f
483,Jan mladší Popel z Lobkovic,m
484,Dennis Gabor,m
485,Anania Širakaci,m
486,Ludwig Gottfried Madihn,m
487,Johann Leonard Hoffmann,m
488,Viktorie Luisa Francouzská,f
489,Marie Hannoverská,f
490,Johann Friedrich Blumenbach,m
491,František Xaver Němeček,m
492,František Smítal,m
493,Alexandr V. Makedonský,m
494,Fulbert ze Chartres,m
495,Hugo Kapet,m
496,Stachys,m
497,Benedikt Peňalosa y Mondragon,m
498,Ota,m
499,Agaton Divotvorce,m
500,Žofie Lehnická,f
501,Pietro Bernini,m
502,Filip Benicius,m
503,Činkim,m
504,Václav Fortunát Durych,m
505,Ioveta Jeruzalémská,f
506,Šalamoun Škultét,m
507,Rüstem Paša,m
508,Macbeth I.,m
509,Štěpán z Kolína,m
510,Roman Mstislavič,m
511,Hans von Kulmbach,m
512,Şekerpare Hatun,f
513,Václav Skalník,m
514,Matylda Saská,f
515,Patience Wright,f
516,Saíf ad-Dín Ghazi I.,m
517,Svatý Egbert,m
518,Paschal III.,m
519,Tom Kapinos,m
520,Gentile da Fabriano,m
521,Pietro Benedetti,m
522,"Jindřich Stafford, 2. vévoda z Buckinghamu",m
523,Muhammad I. Granadský,m
524,Mikuláš VII. Ratibořský,m
525,Albert Neuwall,m
526,Jan González de Castrillo,m
527,Andrea Cesalpino,m
528,Petr Karel Bourbonský,m
529,André du Pré,m
530,Heinrich Bach,m
531,Dóst Muhammad Chán,m
532,Godefried Olenius,m
533,František Esterházy,m
534,Jan Blahoslav,m
535,Zdeněk Jiří Chřepický z Modliškovic,m
536,Pavel III.,m
537,John Fletcher,m
538,Theophil Franz Singer,m
539,Anežka Těšínská,f
540,Giovanni Battista Somis,m
541,Michael Praetorius,m
542,Koloman Bobor,m
543,Al-Ghazálí,m
544,Charles Saunders,m
545,Giuseppe Giordani,m
546,Fridrich I. Falcký,m
547,Isabela Jeruzalémská,f
548,František Arnošt Koller,m
549,Jules Pierre Rambur,m
550,Giovanni Battista Riccioli,m
