,entity,gender
505,Людміла Ганестава,f
506,Язэп Сушынскі,m
507,Васіль Струвэ,m
508,Уладзімір Якавенка,m
509,Юліус Эвола,m
510,Луі дэ Геер,m
511,Уладзімір Грынь,m
512,Вільям Шыракі,m
513,Усевалад Фальскі,m
514,Вальтэр Зюскінд,m
515,Мікалай Гарын-Міхайлоўскі,m
516,Франсуа-Андрэ Данікан Філідор,m
517,Аўгуст Шмітгубер,m
518,Іван Білібін,m
519,Эрнст Юліус Хэнель,m
520,П’ер Лемойн,m
521,Франц Гальдэр,m
522,Сірадж уд-Даўла,m
523,Мар’яна Малеўская-Малевіч,f
524,Хэдлі Рычардсан,m
525,Сігэноры Курода,m
526,Леў Мацкевіч,m
527,Гі дэ Мапасан,m
528,Ісмаіл Самані,m
529,Бела Лайта,m
530,Аляксандр Файнцымер,m
531,Оскар Паціёрэк,m
532,Васіль Бандарчык,m
533,Адам Плятэр,m
534,Мікалай Фёдараў,m
535,Павел Алейнікаў,m
536,Фрыдрых Шлегель,m
537,Андрэй Ракавец,m
538,Жазефіна Багарнэ,f
539,Габдулхай Ахатаў,m
540,Лізавета Соф’я Гогенцолерн,m
541,Ганс фон Зальмут,m
542,Валдас Адамкус,m
543,Уільям Лод,m
544,Уот Тайлер,m
545,Аляксандр Шомін,m
546,Пётр Орса,m
547,Бенджамін Джоўіт,m
548,Нанцільда,f
549,Леаніла Чарняўская,f
550,Анатоль Дзям’янаў,m
551,Мацільда Плантагенет,f
552,Луі дэ Руўруа Сен-Сімон,m
553,Іван Кабзун,m
554,Канстанцін Сіманаў,m
555,Артур Хейлі,m
556,Ежы Феліцыян Сапега,m
557,Змітрок Астапенка,m
558,Васіль Васільеў,m
559,Пампеа Батоні,m
560,Іван Квітко,m
561,Іван Пятроў,m
562,Святая сям’я,f
563,Канстанцін Рэнард,m
564,Іосіф Казлоўскі,m
565,Макар Бумажкоў,m
566,Герман Бургавэ,m
567,Амброжы Казімір Касцюшка,m
568,Домна Варац,f
569,Вітаўтас Мацкявічус,m
570,Фін Мальмгрэн,m
571,Войцех Пшавадзішэўскі,m
572,Оскар Гертвіг,m
573,Петэр Гензель,m
574,Карла Барамеа,m
575,Фрэдэрык Базіль,m
576,Якаў Сімкін,m
577,Хлодвіг IV,m
578,Дамуло Азізаў,m
579,Уладзіслаў Галубок,m
580,Джакама Кварэнгі,m
581,Валянцін Каменскі,m
582,Біргіта Вальберг,m
583,Вера Нільсан,m
584,Праскоўя Балюнова,f
585,Пётр Хрысолаг,m
586,Казімір Альхімовіч,m
587,Уладзімір Хіраска,m
588,Юзаф Юдзіцкі,m
589,Леапольд Інфельд,m
590,Дэрык Бегерт,m
591,Якаў Шапіра,m
592,Міхаіл Фрунзэ,m
593,Эварыста Баскеніс,m
594,Клод Дэбюсі,m
595,Станка Враз,m
596,Андрэй Рымша,m
597,Якаў Бранштэйн,m
598,Канстанцін Казлоўскі,m
599,Вільфрэда Парэта,m
600,Дон Карлас Старэйшы,m
601,Аляксей Міраненка,m
602,Тамэо Ідэ,m
603,Гаўрыла Ціхаў,m
604,Тэафраст,m
605,Сцяпан Сямашка,m
606,Анатоль Углоўскі,m
607,Антыёх VIII Грып,m
608,Іозеф Отмар фон Раўшэр,m
609,Томас Гёрцін,m
610,Пій IV,m
611,Эрнст Вільгельм Леберэхт Тэмпель,m
612,Міхась Адзярыха,m
613,Сесілія Фруксель,m
614,Зыгмунт Мінейка,m
615,Мікалай Беляшэўскі,m
616,Іван Мішэнін,m
617,Марыя Ганна Дэнгаф,f
618,Ксенія Дзянікіна,f
619,Лідыя Фрэйманэ,m
620,Карл Мартэл,m
621,Леон Нікаля Брылюэн,m
622,Алена Сцемпкоўская,f
623,Транята,m
624,Аскольд,m
625,Каміль Брыян,m
626,Францыск Сальскі,m
627,Георг V ,m
628,Віктар Кінгісеп,m
629,Арнольд Джозеф Тойнбі,m
630,Аляксандр Аксёнаў,m
631,Інакенцій XI,m
632,Яраслаў Вашчак,m
633,Ратэрфорд Бэрчард Хейс,m
634,Іаган Рудольф Глаўбер,m
635,Анатоль Бажэнаў,m
636,Луі Бел,m
637,Уільям Х’юлет,m
638,Эвальд Окас,m
639,Пётр Крапоткін,m
640,Шарль Ройс дэ Берэнбраўк,m
641,Нікалае Петрэску,m
642,Бені Гудмен,m
643,Рокуэл Кент,m
644,Мікалай Ігнацьеў,m
645,Раду IV Вялікі,m
646,Ігнацій Івіцкі,m
647,Генрых Офенберг,m
648,Уладзімір Вільнер,m
649,Абсалон,m
650,Васіль Матэ,m
651,Антон Ваньковіч,m
652,Карл Разенталь,m
653,Лукаш Дзекуць-Малей,m
654,Зухра Акчурына,m
655,Мікола Рулінскі,m
656,Віктар Амадэй II,m
657,Уладзіслаў Сыракомля,m
658,Генадзь Някрасаў,m
659,Фрыдрых Генрых Якобі,m
660,Балеслаў Берут,m
661,Сяргей Пракоф’еў,m
662,Рыкарда Галеацы,m
663,Генрых V ,m
664,Ліякат Алі Хан,m
665,Фазлідзін Мухамадзіеў,m
666,Хафіз Шыразі,m
667,Васіль Васільеў,m
668,Іван Паромчык,m
669,Амалія Полсан,m
670,Андрэ Масена,f
671,Анатоль Дзенісевіч,m
672,Фёдар Піроцкі,m
673,Сцяпан Дудышкін,m
674,Роберт фон Грайм,m
675,Якуб Ясінскі,m
676,Казімеж Міхалоўскі,m
677,Яўген Ляцкі,m
678,Тытус Дымек,m
679,Багуслаў Радзівіл,m
680,Роберт Шуман,m
681,Марыяна Асорыя,m
682,Ян Чаканоўскі,m
683,Генрых IX Чорны,m
684,Алаізій Ганзага,m
685,Ілья Вінакураў,m
