,entity,gender
298,Pieter Does,m
299,Ernesto Civardi,m
300,Mieczysław Trojanowski-Rys,m
301,Yrjö Väisälä,m
302,Antoine-Marie-Gabriel Goursolas,m
303,Kučuk Mohamed,m
304,Alan John Keefe Pigott,m
305,Ján Krstitel Scitovszky,m
306,Franciszek Kleeberg,m
307,Pehr Evind Svinhufvud,m
308,Anton Podbevšek,m
309,Joachim von Ribbentrop,m
310,Isaac Albéniz,m
311,Ignacij Orožen,m
312,Leonce Girardot,m
313,Vasile Chitu,m
314,Alphonse Lacroix,m
315,Henri Chandèze,m
316,Georges Piot,m
317,Louis-Eugène-Benoît-Léon Couvy,m
318,Mauro Codussi,m
319,Vladas Nagevičius,m
320,Leó Szilárd,m
321,Ignaz Gyulay,m
322,Janez Bosko,m
323,Papež Štefan IV.,m
324,Ulysses S. Grant,m
325,René-Jules Troublé,m
326,Alexandru Orășanu,m
327,Joseph Liouville,m
328,Ludvik XV. Francoski,m
329,Cecil Llewellyn Firbank,m
330,Henri François de Ségur,m
331,Anton Knaflič,m
332,Ian Stanley Ord Playfair,m
333,Mihail Semjonovič Voroncov,m
334,Papež Liberij,m
335,Aleksandra Alavanja Drucker,m
336,Iraklij Abašidze,m
337,Claude Debussy,m
338,Jean-Claude-Louis-Victor Bouley,m
339,Stanko Premrl,m
340,Giulio della Rovere,m
341,Elizabeta Báthory,m
342,Ferdinand de Saussure,m
343,Bonaventura Herga,m
344,Fric Keršič,m
345,Wilhelm von Humboldt,m
346,Honoré de Balzac,m
347,Jan Andrzej Sadowski-Jagmin,m
348,Stepan Ivanovič Aljušin,m
349,Konrad von Jungingen,m
350,Rudolph Goclenius,m
351,Josip Poklukar,m
352,Atanasie Petculescu,m
353,Joseph Hamilton Beattie,m
354,Štefan Küzmič,m
355,Aleksej Semjonovič Kologrivov,m
356,Jane Addams,m
357,Franc Perpar,m
358,Ernest Geoffrey Weeks,m
359,Viljem iz Tira,m
360,Ian David Erskine,m
361,Luigi Amedeo Savojski,m
362,Wilhelm Hünermann,m
363,Gabrijel Tomažič,m
364,George Thomson,m
365,Ottó Abt,m
366,Anton Gertscher,m
367,Ljudmila Dolar Mantuani,m
368,Henry Charles Deans Rankin,m
369,Michele Ruggieri,m
370,Paul-Alexandre-Pierre Bourget,m
371,Rudolf Lüters,m
372,Franc Globočnik,m
373,Ralph Alger Bagnold,m
374,Valentin Vodnik,m
375,Klaus Wolf,m
376,John Leslie,m
377,Evelyn Hugh Barker,m
378,Georges Boillot,m
379,Ion Ghica,m
380,Joseph Franz Anton von Auersperg,m
381,Franc Jarc,m
382,Petrus Camper,m
383,Akbar Kan,m
384,Krišna Menon,m
385,Dimitrije Jovčić,m
386,Luitzen Egbertus Jan Brouwer,m
387,Janez Ažman,m
388,Albert Rejec,m
389,Bogdan I. Moldavski,m
390,George Edwards,m
391,Walter Sydney Adams,m
392,Charles Frederick Hughes,m
393,Karel Marčič,m
394,Ana Zalokar,f
395,Jakob Čeferin,m
396,Anthony Fokker,m
397,Nikolaos Plastiras,m
398,Henri-Joseph-Léon Herscher,m
399,William Tuxford Howe,m
400,Ivo Babić,m
401,Franz König,m
402,Ambrogio Lorenzetti,m
403,Alfred Boehm-Tettelbach,m
404,Mihail Ivanovič Kalinin,m
405,Alfred Grün,m
406,Alfonz Gspan,m
407,Karel I. Anžujski,m
408,Paolo Naldini,m
409,Janez Sumper,m
410,Papež Klemen XIV.,m
411,Aleksander I. Obrenović,m
412,Edigej,m
413,Ferrante Gonzga del Vodice,m
414,Edward Chester Plow,m
415,Charles John Stuart King,m
416,Otto von Knobelsdorff,m
417,Nigel Bruce,m
418,Charles-Henri-Constant Clavelin,m
419,Innocenzo Ferrieri,m
420,Luigi Ruffo Scilla,m
421,Slavko Kvaternik,m
422,Luigi Bilio,m
423,Philippe-Antoine Merlin de Douai,m
424,Áron Márton,m
425,William Wallace Atterbury,m
426,Natalis Pagliaruzzi,m
427,Maks Pečar,m
428,Janez Erazem Engleshaus,m
429,Odet of Foix,m
430,Leopold Auspitz,m
431,Dominik Savio,m
432,Jožef Spendou,m
433,Oscar Wilde,m
434,Jaroslav Jankovec,m
435,Égide Walschaerts,m
436,Carl Abrahamsson,m
437,Ernst Ruska,f
438,Milan Dolenc,m
439,Michael Faraday,m
440,Bonaventura Cerretti,m
441,John Belchier,m
442,Francis Gerrard Russell Brittorous,m
443,Ivo Zobec,m
444,Hans Leo Hassler,m
445,Alojzij Šonc,m
446,Šodžiro Sugimura,m
447,Joahim Nastran,m
448,Daniel Marcus William Beak,m
449,Karapet Vardanovič Ahnazarijan,m
450,Stanko Bunc,m
451,Papež Pavel V.,m
452,Alexander Forrester Inglis Cochrane,m
453,Victor-Henri Schweizguth,m
454,Rosa Bonheur,m
455,Eduard Bernstein,m
456,Gaston Gimpel,m
457,Carlo Maria Pedicini,m
458,Janez Friderik Egger,m
459,Howard McNamara,m
460,Rodrigo Luis de Borja y de Castro-Pinós,m
461,Giacomo Zanussi,m
462,Gaspar Zúñiga Avellaneda,m
463,Primož Lavrenčič,m
464,Dennis Gabor,m
465,Martino Altomonte,m
466,Franciszek Bronikowski,m
467,Goffredo Mameli,m
468,Stanisław Popławski,m
469,Philibert Collet,m
470,Maria Grollmuß,m
471,Fabrizio Paolucci,m
472,Johann Friedrich Blumenbach,m
473,Basarab I. Vlaški,m
474,Domenico Ferrata,m
475,Einar A. Wihma,m
476,Joseph Roth,m
477,Francesco Boncompagni,m
478,Cyril Collier Duchesné,m
479,Gustavo Pesenti,m
480,Jožef Meglič,m
481,Papež Pij I.,m
482,George Thexton Wards,m
483,Abel-Louis-Joseph Drot,m
484,Joseph-Charles-Eugène Goetschy,m
485,Jim Lightbody,m
486,William Kingdon Clifford,m
487,Charles Gordon Stewart,m
488,Eugen Gerstenmaier,m
489,Jože Jakša,m
490,Franjo Marušič,m
491,Hormizd I.,m
492,Guillermo Rawson,m
493,Hrabroslav Volarič,m
494,Robert Harold Alexander Kellie,m
495,Lothar Klemens Joseph von Allram,m
496,Šri Aurobindo,m
497,Ippolito Antonio Vincenti Mareri,m
498,Kenneth William Dobson Strong,m
499,Scarlat Momiceanu,m
500,Olav Bjørnstad,m
501,Odoardo Majnardi,m
502,Rajmond Della Torre,m
503,Ana Dalasena,f
504,Roelof Theodorus Overakker,m
505,Ruđer Josip Bošković,m
506,Paolo Gorini,m
507,Jean-Léon-Albert Langlois,m
508,Janez Kanoni,m
509,Janoš Slepec,m
510,Ivan Mažuranić,m
511,Mihael Gaber,m
512,Odilon Picquendar,m
513,James Francis Harter,m
514,Franc de Paula Nunberger,m
515,Louis Touron,m
516,Ivan Pavlović,m
517,Robert Napier Hubert Campbell Bray,m
518,Hajkanuš Danieljan,m
519,Antonio Gramsci,m
520,Oleg Novgorodski,m
521,Dimitrij Petrovič Nevorovski,m
522,Giovanni Battista Riccioli,m
523,Pavel Aleksandrovič Aleksejev,m
524,José María Morelos,m
525,Nikolaj Maksimovič Alimov,m
526,Arturo Toscanini,m
527,Janez Duns Skot,m
528,Vasilij Grigorjevič Imšenecki,m
529,Tobija Gruber,m
530,Mihail Fjodorovič Naumov,m
531,Viljem I. Nemški,m
532,Bogdan Ferlinc,m
533,Reginald Llewellyn Brown,m
534,Jakob Šolar,m
535,Kijoo Kanda,m
536,Emil von Arbter,m
537,Čandarli Kara Halil Hajredin Paša,m
538,Franc Omerza,m
539,Kurt von Hammerstein-Equord,m
540,Marija Pavlič,m
541,Ivan Mihajlovič Jašvil,m
542,Cesarica Sujko,f
543,Džanaj,m
544,Alfred Hitchcock,m
545,Jean Harcourt,m
546,Domenico Spinucci,m
547,John Field,m
548,Janez Lindelauf,m
